"","LineID","Lower","Estimate","Upper"
"1","Group CSF2RB_R461C_2",132232.276313585,66253.2939053433,33195.367089486
"2","Group CSF2RB_R461C_22",26442.7839879243,18654.6727219785,13160.3697448441
"3","Group CSF2RB_WT_1",4956105.58554245,698264.861930962,98378.4160752701
"4","Group CSF2RB_WT_21",718310.163899827,231891.123886085,74861.1060230671
"5","Group CSF3R_T618I_14",1.05071915311477,1,1
"6","Group CSF3R_T618I_24",1.21348776321126,1,1
"7","Group CSF3R_T618I_4",9.31371954546126,5.73558357036492,3.53209249345191
"8","Group CSF3R_W791X_15",365.714710822402,265.048550074037,192.09162720956
"9","Group CSF3R_W791X_25",356.899325418728,258.526533280425,187.268407783008
"10","Group CSF3R_W791X_5",1573.34097431122,1128.56702253162,809.527969551215
"11","Group CSF3R_WT_13",436.082427888947,318.471235871303,232.579717940902
"12","Group CSF3R_WT_23",831.889740499804,593.12814740226,422.893782810055
"13","Group CSF3R_WT_3",4927.01671351367,3891.56314490173,3073.71876154189
"14","Group IL7R_243InsPPCL_17",70.8175122193729,50.0970828419943,35.4392244322737
"15","Group IL7R_243InsPPCL_27",124.902279144613,85.4451890261371,58.4527390349643
"16","Group IL7R_243InsPPCL_7",4945.20174103618,3914.91839646948,3099.28428679307
"17","Group IL7R_WT_16",Inf,Inf,197251.271489281
"18","Group IL7R_WT_26",3878200.49234396,546200.194832349,76926.0520243461
"19","Group IL7R_WT_6",Inf,Inf,265020.734220947
"20","Group P210_Fusion_19",1,1,1
"21","Group P210_Fusion_29",2.05089413257176,1.5130853334773,1.11630687807042
"22","Group P210_Fusion_9",1.44613287841559,1.14755589876294,1
"23","Group Vector_Empty_18",43982.7815656947,28650.0150404712,18662.3795176121
"24","Group Vector_Empty_28",Inf,Inf,211340.64802423
"25","Group Vector_Empty_8",Inf,Inf,216624.164224836
