"","LineID","Lower","Estimate","Upper"
"1","Group 31_2",13.1922823829164,7.48887568941862,4.25121729991099
"2","Group 31_9",1.49683328814871,1.14224524227158,1
"3","Group 32_2",2.12784257607651,1.5809712810662,1.17464995750054
"4","Group 32_9",1.04524158005911,1,1
"5","Group 33_2",1.28758621148876,1,1
"6","Group 33_9",1.28758621148876,1,1
"7","Group 34_2",2.73652781196778,1.9845003343118,1.43913815151462
"8","Group 34_9",1.07695775986822,1,1
"9","Group 35_2",2.84421484214822,2.0541863650461,1.48360157601675
"10","Group 35_9",1.40877948134619,1.07902564601285,1
"11","Group 36_2",1.36701520040428,1.04884439083878,1
"12","Group 36_9",1.40877948134619,1.07902564601285,1
"13","Group 37_2",16.9010261591914,9.09083510685595,4.88983817678432
"14","Group 37_9",1.28758621148876,1,1
"15","Group 38_2",2.05719636167798,1.53297775618793,1.14234151136169
"16","Group 38_9",1.49683328814871,1.14224524227158,1
"17","Group 39_2",1.40877948134619,1.07902564601285,1
"18","Group 39_9",1.1430695727437,1,1
